sep=,
Map Name,CM Retries,CM Total Time,FG Reloads,FG Total Time
mp_coop_a1_intro1,0,0:00:00.000,2,137.35
mp_coop_a1_intro2,0,0:00:00.000,2,77.9833
mp_coop_a1_intro3,0,0:00:00.000,2,166.85
mp_coop_a1_intro4,0,0:00:00.000,2,135.683
mp_coop_a1_intro5,0,0:00:00.000,2,142.617
mp_coop_a1_intro6,0,0:00:00.000,1,46.95
mp_coop_a1_intro7,0,0:00:00.000,2,163.617
mp_coop_a1_wakeup,0,0:00:00.000,3,109.283
mp_coop_lobby_3,0,0:00:00.000,3,173.367
mp_coop_start,0,0:00:00.000,2,38.8
Nb CM Reset,Total Time CM
0,0:00:00.000
Completed Runs,Avg Reset Time,Nb Reset,Total Time SP,Total Time Coop,Portal Count
0,0:00:00.000,0,0:00:00.000,0:19:52.500,23
Total Time In-Game
0:19:52.500
